Date,Open,High,Low,Close,Volume
2003-08-04,1.12672,1.13734,1.12564,1.13523,1269311498.0474
2003-08-05,1.13518,1.13969,1.13054,1.13908,1283456511.7192
2003-08-06,1.13868,1.1425,1.13238,1.13364,1267238097.6567
2003-08-07,1.13375,1.14138,1.13173,1.1364,1272338220.7037
2003-08-08,1.13632,1.13774,1.12861,1.13053,1179078199.2191
2003-08-11,1.12882,1.13788,1.12615,1.13544,1332321011.7189999
2003-08-12,1.13535,1.13709,1.12659,1.12727,1340615119.141
2003-08-13,1.12724,1.13302,1.12169,1.13093,1352523990.2348
2003-08-14,1.13097,1.13365,1.12234,1.1265,1335924691.4068
2003-08-15,1.12629,1.12868,1.12396,1.12633,1207938908.2034
2003-08-17,1.12633,1.12675,1.12337,1.12614,68012800.78130001
2003-08-18,1.12601,1.12672,1.11221,1.11382,1353761214.8442001
2003-08-19,1.11377,1.1147,1.10534,1.11293,1338473804.6878
2003-08-20,1.11277,1.11397,1.10783,1.11084,1347231691.4067001
2003-08-21,1.11067,1.11088,1.08826,1.09295,1344975291.0161
2003-08-22,1.09287,1.09445,1.0835,1.08731,1243191488.2816
2003-08-24,1.08731,1.08731,1.08469,1.08551,92062101.5625
2003-08-25,1.08533,1.09169,1.07973,1.08265,1342775117.1877
2003-08-26,1.08269,1.0908,1.07911,1.08739,1340140089.8441
2003-08-27,1.08714,1.09288,1.08303,1.08512,1339286392.5785
2003-08-28,1.08491,1.09114,1.08082,1.08791,1345976218.7503
2003-08-29,1.08784,1.09964,1.08678,1.09817,1254845792.9693
2003-08-31,1.09817,1.09938,1.09794,1.09887,88392501.9531
2003-09-01,1.09882,1.10125,1.09487,1.09576,1204219607.4225
2003-09-02,1.09581,1.0961,1.07975,1.08022,1326004996.094
2003-09-03,1.08036,1.08715,1.07606,1.08167,1362868105.4691
2003-09-04,1.08164,1.09485,1.08075,1.09305,1348508611.3286
2003-09-05,1.09326,1.11116,1.0915,1.11019,1231784799.805
2003-09-07,1.11019,1.11043,1.10762,1.10892,98337197.2656
2003-09-08,1.10899,1.11282,1.10448,1.10653,1341294689.4536
2003-09-09,1.10657,1.1239,1.10514,1.12168,1363170480.4692001
2003-09-10,1.12169,1.12347,1.11608,1.11811,1364766785.1568
2003-09-11,1.11792,1.12695,1.11537,1.11831,1364460910.1568
2003-09-12,1.11816,1.13208,1.11329,1.12883,1249724199.2191
2003-09-14,1.12883,1.12883,1.12502,1.12748,90649898.4376
2003-09-15,1.12744,1.13082,1.12401,1.12766,1350359324.2191
2003-09-16,1.12765,1.13165,1.11523,1.11632,1345838671.8754
2003-09-17,1.11625,1.12989,1.11366,1.1275,1340349781.2503
2003-09-18,1.1275,1.13414,1.12246,1.12482,1338139416.0159
2003-09-19,1.12476,1.13823,1.12374,1.13762,1260608201.1721
2003-09-21,1.13762,1.14954,1.13762,1.14568,95800798.8282
2003-09-22,1.14542,1.15031,1.14124,1.14694,1352392687.5005
2003-09-23,1.1469,1.15233,1.1426,1.1438,1349430806.6408
2003-09-24,1.14377,1.15034,1.14262,1.14814,1351906177.7346
2003-09-25,1.14819,1.15321,1.14568,1.14667,1341406585.9379
2003-09-26,1.14673,1.14965,1.14385,1.14577,1244986710.9381
2003-09-28,1.14577,1.14656,1.14488,1.14593,91015500.0001
2003-09-29,1.14592,1.16366,1.13927,1.15753,1352743017.5786
2003-09-30,1.15756,1.17323,1.15717,1.16738,1347019593.7503
2003-10-01,1.1671,1.17327,1.16523,1.17151,1353190804.688
2003-10-02,1.17147,1.17668,1.16596,1.1676,1349787296.8755
2003-10-03,1.16764,1.17193,1.15487,1.1578,1258758621.0941
2003-10-05,1.1578,1.15943,1.15557,1.15893,86420000.0001
2003-10-06,1.15889,1.17212,1.15309,1.17121,1346179185.5472
2003-10-07,1.17128,1.18098,1.1696,1.17741,1337950910.1565
2003-10-08,1.17761,1.18399,1.17675,1.1821,1342844404.2972999
2003-10-09,1.18217,1.18588,1.1683,1.17344,1342475703.1256
2003-10-10,1.17325,1.18461,1.17012,1.17928,1237419224.6099
2003-10-12,1.17928,1.18138,1.17928,1.18103,79808199.2189
2003-10-13,1.18094,1.18113,1.16512,1.16904,1346379195.313
2003-10-14,1.169,1.17638,1.15803,1.17241,1337216292.9691
2003-10-15,1.17202,1.17431,1.15889,1.16171,1352444117.1877
2003-10-16,1.16172,1.16942,1.15721,1.15786,1332556501.9537
2003-10-17,1.15775,1.16823,1.15515,1.16782,1244838992.1879
2003-10-19,1.16782,1.1727,1.16782,1.16979,94603900.3907
2003-10-20,1.1696,1.16974,1.16,1.16264,1335044312.5004
2003-10-21,1.16268,1.16991,1.16152,1.1649,1336706812.5004
2003-10-22,1.16519,1.18276,1.16463,1.18177,1341201076.1724
2003-10-23,1.18166,1.18434,1.17546,1.18201,1339291611.3281
2003-10-24,1.18182,1.18546,1.17589,1.17767,1244182476.5628
2003-10-26,1.17767,1.17829,1.17628,1.1777,60921498.046900004
2003-10-27,1.17752,1.17805,1.1717,1.17347,1346951292.9692001
2003-10-28,1.17338,1.17383,1.16535,1.16629,1354644705.0785
2003-10-29,1.1663,1.1717,1.16554,1.16597,1327023099.6096
2003-10-30,1.16629,1.17536,1.16096,1.16225,1343465892.5788
2003-10-31,1.16228,1.16551,1.15615,1.15851,1287163589.8439999
2003-11-02,1.15851,1.15866,1.15713,1.1579,59183599.609400004
2003-11-03,1.15796,1.16177,1.14264,1.14547,1348210509.7661
2003-11-04,1.14544,1.15118,1.14244,1.14722,1347965207.0316
2003-11-05,1.1471,1.14956,1.14118,1.14239,1341507728.5161
2003-11-06,1.14251,1.14614,1.13873,1.14081,1344918693.3597
2003-11-07,1.14075,1.15414,1.13769,1.15269,1302944990.2346
